PLZ;Gebiet_Name;Gebiet_ID
01000;Ost;101
01001;Ost;101
01002;Ost;101
01003;Ost;101
01004;Ost;101
01005;Ost;101
01006;Ost;101
01007;Ost;101
01008;Ost;101
01009;Ost;101
01010;Ost;101
01011;Ost;101
01012;Ost;101
01013;Ost;101
01014;Ost;101
01015;Ost;101
01016;Ost;101
01017;Ost;101
01018;Ost;101
01019;Ost;101
01020;Ost;101
01021;Ost;101
01022;Ost;101
01023;Ost;101
01024;Ost;101
01025;Ost;101
01026;Ost;101
01027;Ost;101
01028;Ost;101
01029;Ost;101
01030;Ost;101
01031;Ost;101
01032;Ost;101
01033;Ost;101
01034;Ost;101
01035;Ost;101
01036;Ost;101
01037;Ost;101
01038;Ost;101
01039;Ost;101
01040;Ost;101
01041;Ost;101
01042;Ost;101
01043;Ost;101
01044;Ost;101
01045;Ost;101
01046;Ost;101
01047;Ost;101
01048;Ost;101
01049;Ost;101
01050;Ost;101
01051;Ost;101
01052;Ost;101
01053;Ost;101
01054;Ost;101
01055;Ost;101
01056;Ost;101
01057;Ost;101
01058;Ost;101
01059;Ost;101
01060;Ost;101
01061;Ost;101
01062;Ost;101
01063;Ost;101
01064;Ost;101
01065;Ost;101
01066;Ost;101
01067;Ost;101
01068;Ost;101
01069;Ost;101
01070;Ost;101
01071;Ost;101
01072;Ost;101
01073;Ost;101
01074;Ost;101
01075;Ost;101
01076;Ost;101
01077;Ost;101
01078;Ost;101
01079;Ost;101
01080;Ost;101
01081;Ost;101
01082;Ost;101
01083;Ost;101
01084;Ost;101
01085;Ost;101
01086;Ost;101
01087;Ost;101
01088;Ost;101
01089;Ost;101
01090;Ost;101
01091;Ost;101
01092;Ost;101
01093;Ost;101
01094;Ost;101
01095;Ost;101
01096;Ost;101
01097;Ost;101
01098;Ost;101
01099;Ost;101
01100;Ost;101
01101;Ost;101
01102;Ost;101
01103;Ost;101
01104;Ost;101
01105;Ost;101
01106;Ost;101
01107;Ost;101
01108;Ost;101
01109;Ost;101
01110;Ost;101
01111;Ost;101
01112;Ost;101
01113;Ost;101
01114;Ost;101
01115;Ost;101
01116;Ost;101
01117;Ost;101
01118;Ost;101
01119;Ost;101
01120;Ost;101
01121;Ost;101
01122;Ost;101
01123;Ost;101
01124;Ost;101
01125;Ost;101
01126;Ost;101
